Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
1,Noel Acciari,31,STL,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,12,12:05,0,6,6,3,66.7,acciano01
2,Calen Addison,22,MIN,D,3,0,4,4,-5,0,0.0,0,0,0,0,1,3,0,5,0.0,56,18:40,1,0,0,0,,addisca01
3,Sebastian Aho,25,CAR,F,3,2,2,4,2,2,0.5,1,1,0,2,1,1,0,9,22.2,55,18:27,2,1,27,28,49.1,ahose01
4,Wade Allison,25,PHI,RW,2,1,0,1,1,2,0.1,1,0,0,0,0,0,0,5,20.0,30,15:12,1,3,0,1,0.0,alliswa01
5,Michael Amadio,26,VEG,C,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,1,0.0,10,9:46,0,2,0,0,,amadimi01
6,Nils Aman,22,VAN,C,3,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,1,0.0,38,12:33,1,4,10,10,50.0,amanni01
7,Josh Anderson,28,MTL,RW,4,1,0,1,1,2,0.2,1,0,0,1,0,0,0,5,20.0,63,15:38,3,9,5,1,83.3,anderjo05
8,Michael Anderson,23,LAK,D,4,0,2,2,0,2,0.1,0,0,0,0,2,0,0,7,0.0,84,21:03,6,5,0,0,,andermi02
9,Rasmus Andersson,26,CGY,D,2,1,1,2,1,4,0.3,1,0,0,0,0,1,0,3,33.3,47,23:21,3,2,0,0,,anderra01
10,Mason Appleton,27,WPG,C,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,31,15:44,0,1,0,0,,applema01
11,Josh Archibald,30,PIT,RW,3,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,6,0.0,30,10:02,1,13,0,0,,archijo01
12,Viktor Arvidsson,29,LAK,LW,3,0,0,0,-2,2,-0.2,0,0,0,0,0,0,0,5,0.0,51,16:57,3,0,1,1,50.0,arvidvi01
13,Rasmus Asplund,25,BUF,F,2,0,0,0,2,0,0.0,0,0,0,0,0,0,0,2,0.0,27,13:35,0,1,5,10,33.3,asplura01
14,Zach Aston-Reese,28,TOR,C,4,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0.0,38,9:26,1,8,1,0,100.0,astonza01
15,Andreas Athanasiou,28,CHI,C,3,0,1,1,-1,12,0.0,0,0,0,0,0,1,0,5,0.0,49,16:16,2,1,1,3,25.0,athanan01
16,Nicolas Aube-Kubel,26,TOR,RW,4,0,0,0,-2,4,-0.1,0,0,0,0,0,0,0,1,0.0,38,9:24,1,19,0,0,,aubekni01
17,Mikael Backlund,33,CGY,C,2,1,0,1,-2,2,0.1,1,0,0,0,0,0,0,9,11.1,35,17:37,0,2,20,15,57.1,backlmi01
18,Josh Bailey,33,NYI,C,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,30,15:08,1,0,0,0,,bailejo01
19,Rudolfs Balcers,25,FLA,LW,3,0,1,1,-2,2,0.0,0,0,0,0,1,0,0,5,0.0,38,12:40,2,2,0,0,,balceru01
20,Ivan Barbashev,27,STL,C,1,1,0,1,2,0,0.2,1,0,0,1,0,0,0,2,50.0,16,15:49,1,1,0,0,,barbaiv01
21,Aleksander Barkov,27,FLA,C,3,0,2,2,-2,0,0.0,0,0,0,0,0,2,0,8,0.0,66,22:01,1,0,37,46,44.6,barkoal01
